name,address,city,state,zip,country,num_stalls,power,lat_lon,elevation,status,open_date
"Miami - South Dixie Highway, FL",8312 Dixie Highway,Miami,FL,33143,USA,12,72,"25.693198, -80.304898",3,OPEN,2020-06-11
"Mackinaw City, MI",801 S Huron Ave,Mackinaw City,MI,49701,USA,8,250,"45.77225, -84.7265",180,OPEN,2020-06-10
"Hermosa Beach, CA",710 16th St,Hermosa Beach,CA,90254,USA,20,250,"33.864955, -118.394819",25,OPEN,2020-06-10
"Pismo Beach, CA",333 Five Cities Dr,Pismo Beach,CA,93449,USA,12,250,"35.136408, -120.628662",12,OPEN,2020-06-08
"Richmond - Pierce St, CA",3288 Pierce St,Richmond,CA,94804,USA,12,250,"37.898736, -122.308672",4,OPEN,2020-05-30
"Kelso, WA",205 Three Rivers Dr,Kelso,WA,98626,USA,12,250,"46.143403, -122.899225",6,OPEN,2020-05-29
"Fargo, ND",5680 23rd Ave S,Fargo,ND,58104,USA,4,250,"46.843601, -96.882492",276,OPEN,2020-05-29
"Easton, MD",7655 Ocean Gateway,Easton,MD,21601,USA,8,250,"38.759257, -76.061405",13,OPEN,2020-05-28
"Emporia, KS",1330 Industrial Rd,Emporia,KS,66801,USA,8,250,"38.414266, -96.216714",354,OPEN,2020-05-28
"St. Louis Park, MN",3601 State Hwy 100 (MN-100),St. Louis Park,MN,55416,USA,8,250,"44.935964, -93.347857",269,OPEN,2020-05-27
"Hyannis, MA",425 Attucks Ln,Hyannis,MA,2601,USA,12,250,"41.676619, -70.307049",21,OPEN,2020-05-20
"Bensalem, PA",3620 Street Rd,Bensalem,PA,19020,USA,8,250,"40.124944, -74.963908",36,OPEN,2020-05-19
"White Hills, AZ",12683 White Hills Rd,Willow Beach,AZ,86445,USA,8,250,"35.7, -114.476782",746,OPEN,2020-05-13
"Manteca - Spreckels Ave, CA",280 Spreckels Ave,Manteca,CA,95366,USA,12,250,"37.795975, -121.19771",13,OPEN,2020-05-09
"Goleta, CA",6975 Marketplace Dr,Goleta,CA,93117,USA,12,250,"34.427015, -119.871768",9,OPEN,2020-05-06
"Schertz, TX",17640 IH 35 N,Schertz,TX,78154,USA,8,150,"29.598455, -98.276067",254,OPEN,2020-05-02
"Deltona, FL",3400 Howland Blvd,Deltona,FL,32725,USA,8,250,"28.9498974, -81.2508045",16,OPEN,2020-04-25
"North Canaan, CT",11 E Main St,Canaan,CT,6018,USA,8,250,"42.024331, -73.322684",207,OPEN,2020-04-17
"Revere, MA",40 Furlong Dr,Revere,MA,2151,USA,8,250,"42.398547, -71.00021",3,OPEN,2020-04-11
"Richmond, IN",2507 Chester Blvd,Richmond,IN,47374,USA,8,250,"39.868255, -84.886326",334,OPEN,2020-04-08
"Fort Lauderdale, FL",2620 W Broward Blvd,Fort Lauderdale,FL,33312,USA,8,250,"26.120885, -80.177098",2,OPEN,2020-04-06
"Lakewood, CO",14500 W Colfax Ave,Lakewood,CO,80401,USA,16,250,"39.733697, -105.154154",1750,OPEN,2020-03-31
"Forks, WA",100 Fern Hill Rd,Forks,WA,98331,USA,8,250,"47.942522, -124.384748",93,OPEN,2020-03-30
"Emeryville - Powell Street Plaza, CA",5795 Christie Ave,Emeryville,CA,94608,USA,12,250,"37.837506, -122.295407",4,OPEN,2020-03-28
