,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
0,Specialized,TurboVadoSL4.0EQ,3500.0,36.9,240.0,35.0,75.0,331.2
1,iGOElectric,CoreExtreme2.0,1999.0,71.5,500.0,30.0,50.0,624.0
2,Aventon,Level,1599.0,58.6,500.0,30.0,57.0,672.0
3,Riese&amp;Müller,DeliteGTRohloff,8759.0,62.8,250.0,35.0,80.0,482.4
4,SONDORS,FoldXS,1699.0,68.9,750.0,30.0,50.0,672.0
5,Synergy,Kahuna,1899.0,65.1,750.0,25.0,45.0,672.0
6,KONA,DEW-E,2999.0,43.0,250.0,40.0,90.0,396.0
7,CUBE,TownSportHybridOne400,2599.0,53.9,250.0,40.0,90.0,396.0
8,Aventon,Sinch,1499.0,67.6,500.0,30.0,71.0,672.0
9,SONDORS,SmartStep,999.0,55.6,350.0,20.0,30.0,374.4
10,Gazelle,UltimateT10+HMB,3999.0,57.3,250.0,30.0,120.0,482.4
11,Electra,TowniePathGo!10DEQ,3699.0,55.9,250.0,45.0,90.0,482.4
12,Electra,ValeGo!9DEQ,3299.0,53.7,250.0,45.0,105.0,482.4
13,Trek,Allant+7,3599.0,47.4,250.0,30.0,120.0,482.4
14,RIZEBikes,Blade,1699.0,68.5,750.0,30.0,70.0,768.0
15,AddMotoR,MOTANM-66R7,1799.0,74.0,750.0,30.0,55.0,556.8
16,Specialized,TurboCreoSLExpert,9000.0,28.8,240.0,35.0,75.0,331.2
17,DŌST,DROP,2799.0,64.9,750.0,30.0,120.0,672.0
18,DŌST,KOPE,2799.0,65.2,750.0,30.0,120.0,672.0
19,RadPowerBikes,RadCityStep-Thru3,1499.0,65.2,750.0,30.0,50.0,672.0
20,Magnum,Payload,2499.0,80.5,500.0,25.0,75.0,624.0
21,Surface604,BoarHunter,2499.0,67.0,500.0,25.0,45.0,499.2
22,RadPowerBikes,RadMiniStep-Thru2,1499.0,69.0,750.0,25.0,45.0,672.0
23,Specialized,TurboLevoSLExpertCarbon,9025.0,38.8,240.0,30.0,70.0,331.2
24,FuroSystems,eTura,1789.0,28.25,250.0,10.0,31.0,313.0
25,RadPowerBikes,RadRover5,1499.0,69.6,750.0,25.0,45.0,672.0
26,Magnum,Classic48,2049.0,61.3,500.0,25.0,55.0,624.0
27,RadPowerBikes,RadCity4,1499.0,63.6,750.0,30.0,50.0,672.0
28,RadPowerBikes,RadRoverStep-Thru1,1499.0,71.4,750.0,25.0,45.0,672.0
29,RadPowerBikes,RadRhinoStep-Thru1,1699.0,71.4,250.0,30.0,50.0,672.0
30,RadPowerBikes,RadMini4,1499.0,68.3,750.0,25.0,45.0,672.0
31,RadPowerBikes,RadMini4(EUVersion),1699.0,68.3,250.0,30.0,50.0,672.0
32,Specialized,TurboCreoSLCompCarbonEVO,6500.0,31.6,240.0,35.0,75.0,331.2
33,Trek,Verve+2,2499.0,52.2,250.0,38.0,88.0,396.0
34,OHM,Cruise,2899.0,49.7,250.0,60.0,120.0,508.2
35,Specialized,TurboS-WorksLevoSL,13525.0,38.0,240.0,30.0,70.0,331.2
36,Electra,TownieGo!7D,1499.0,49.3,250.0,20.0,40.0,309.6
37,Qualisports,Beluga,1399.0,64.0,500.0,25.0,45.0,504.0
38,Eahora,SnowX6,1290.0,50.6,350.0,30.0,75.0,624.0
39,BPMImports,F-15RZ,1595.0,69.2,750.0,30.0,100.0,1008.0
40,Magnum,Ranger,2499.0,74.2,750.0,25.0,75.0,624.0
41,Himiway,Cruiser,1499.0,71.5,750.0,30.0,60.0,840.0
42,Ride1Up,700Series,1449.0,62.2,500.0,30.0,60.0,672.0
43,Ride1Up,500Series,1099.0,55.7,500.0,25.0,50.0,499.2
44,LectriceBikes,LectricXP,999.0,62.2,500.0,25.0,50.0,499.2
45,Gazelle,UltimateT10HMB,3799.0,57.3,250.0,30.0,70.0,482.4
46,AddMotoR,HITHOTH1Platinum,1999.0,60.3,500.0,30.0,50.0,556.0
47,Velec,CITI,2099.0,42.8,350.0,15.0,105.0,252.0
48,Gocycle,GX,3299.0,40.4,500.0,20.0,50.0,292.14
49,BULLS,COPPERHEADEVOAM3,5899.0,56.5,250.0,40.0,100.0,626.4
50,Nakto,Classic,749.0,58.7,250.0,10.0,25.0,374.4
51,OHM,Quest,3399.0,52.9,250.0,60.0,120.0,508.2
